APPLY_IDEN_TYPE,CREATE_OPER_ID,CREATE_TIME,DESCRIPTION,FI_ACCOUNT_DEF_ID,FI_CUSTOMER_DEF_ID,FI_GROUPMEMBER_DEF_ID,FI_GROUP_DEF_ID,FI_ORG_DEF_ID,LAST_OPER_ID,LAST_TIME,LINK_TYPE_ID,NAME,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               <endrec>
"1000","203000000000010133","2014-10-01 16:12:17.756000","M-KESHO Loan Link Type","10006","10006","","","","203000000000010133","2014-10-04 13:12:19.688000","10004","M-KESHO Loan Link Type","50","30099797"<endrec>
"1000","203000000000010133","2014-10-04 10:52:48.031000","M-KESHO Loan Link Type","10012","10012","","","","203000000000014908","2016-08-18 09:50:17.388000","10004","M-KESHO Loan Link Type","50","30099835"<endrec>
"1000","203000000000010133","2014-10-04 10:57:54.704000","M-KESHO Savings Link Type","10014","10014","","","","203000000000013109","2014-10-18 11:59:58.795000","10003","M-KESHO Savings Link Type","30","30099836"<endrec>
"1000","203000000000010133","2014-10-04 10:59:59.398000","M-Shwari Link Type","10016","10016","0","0","","203000000000018317","2017-01-19 03:34:42.565000","10002","M-Shwari Link Type","50","30099837"<endrec>
"7000","203000000000013818","2016-06-02 20:25:33.305000","Group FSI Link","80011","80011","80011","21001","","203000000000015423","2018-02-12 12:47:09.902000","10006","Group FSI Link","60","937208576"<endrec>
"1000","203000000000013022","2016-07-11 04:18:29.765000","M_Kesho Link Type","90013","90013","90013","22003","","203000000000013022","2016-07-11 04:18:37.860000","20006","M_Kesho Link Type","30","937215699"<endrec>
"1000","203000000000014908","2016-08-18 09:50:08.114000","M-KESHO Loan Link Type","110017","110017","110017","24007","","203000000000014908","2016-08-18 09:50:17.395000","10004","M-KESHO Loan Link Type","30","937219066"<endrec>
"7000","203000000000013022","2016-08-23 08:22:46.358000","Group FSI Link Type","110026","110026","110026","24016","","203000000000013022","2016-09-01 04:21:40.699000","30006","Group FSI Link Type","30","937219214"<endrec>
"1000","203000000000013818","2016-08-24 17:07:53.566000","purely for testing link dependency","110032","110032","110032","24022","","203000000000013818","2016-08-24 17:09:27.443000","30007","M-Kesho Test Link dependency","30","937219286"<endrec>
"5000","203000000000014908","2016-11-08 03:01:43.739000","M-Shwari Link Type For Org","130011","","","","10003","203000000000014908","2016-12-28 06:39:53.266000","40006","M-Shwari Link Type For Org","50","937235608"<endrec>
"5000","203000000000014908","2016-12-28 06:39:44.724000","M-Shwari Link Type For Org","150011","160011","160011","28001","40002","203000000000014908","2016-12-28 06:48:36.959000","40006","M-Shwari Link Type For Org","50","937253735"<endrec>
"5000","203000000000014908","2016-12-28 06:48:25.969000","M-Shwari Link Type For Org","150014","160014","160014","28004","40005","203000000000018317","2017-01-19 06:57:08.076000","40006","M-Shwari Link Type For Org","50","937253738"<endrec>
"1000","203000000000018317","2017-01-19 03:34:28.414000","M-Shwari Link Type","160011","170011","170011","29001","50002","203000000000010806","2018-06-26 09:06:51.306000","10002","M-Shwari Link Type","50","937258727"<endrec>
"5000","203000000000018317","2017-01-19 06:56:58.236000","M-Shwari Link Type For Org","160013","170013","170013","29003","50004","203000000000018317","2017-01-19 06:57:08.080000","40006","M-Shwari Link Type For Org","30","937258728"<endrec>
"1000","203000000000010806","2018-06-26 09:06:21.074000","M-Shwari Link Type","220012","240016","240016","34002","110003","203000000000010806","2018-06-26 09:06:51.315000","10002","M-Shwari Link Type","30","937510420"<endrec>
"1000","203000000000010811","2020-01-30 13:23:21.770000","M-pawa Link Type","1220011","1270012","240016","","","203000000000010811","2020-01-30 13:23:28.338000","980006","M-pawa Link Type","30","937707808"<endrec>
