INPUT_MSG_PARA_SET_ID,MSG_PARA_SET_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <endrec>
"11","14"<endrec>
"11","15"<endrec>
"1101","1001"<endrec>
"1102","1003"<endrec>
"1114","1115"<endrec>
"1114","1120"<endrec>
"1114","1122"<endrec>
"12","10"<endrec>
"2","4"<endrec>
"7","1"<endrec>
"7","1104"<endrec>
"7","5"<endrec>
