IDENTITY_TYPE,KYC_FIELD_ID,KYC_GROUP_ID,LOAD_DATA_TS,SEGMENT_DESCRIPTION,SEGMENT_ID,SEGMENT_NAME,STATUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <endrec>
"5000","110474","1003","2015-10-23 16:49:42.000000","","510062","Segment_address2","30"<endrec>
"5000","110515","310072","2015-10-23 16:46:04.000000","","510152","city2","60"<endrec>
"5000","1010","1003","2015-10-23 16:46:10.000000","","510162","citycorected","60"<endrec>
"5000","1011","1003","2015-12-11 12:27:29.000000","","510252","IBM_Test","30"<endrec>
"5000","110846","310183","2016-06-24 20:33:41.000000","","510352","MNO Bundle Provider","30"<endrec>
"1000","1011","1003","2018-10-12 09:43:10.000000","","510552","post_code_for_segmant _test","30"<endrec>
"7000","110020","1001","2018-02-12 09:10:45.000000","","510652","Email","60"<endrec>
"7000","1023","1011","2017-09-21 10:39:05.000000","","510662","Group Sponsor","30"<endrec>
"7000","1023","1011","2018-02-12 08:59:24.000000","","510672","Email2","60"<endrec>
"7000","110020","1001","2018-02-12 09:00:46.000000","","510682","Group sponsornew","30"<endrec>
"7000","111256","1010","2019-07-19 12:24:21.000000","","510752","NewSegmantOne","30"<endrec>
"7000","111286","1010","2018-02-12 09:02:09.000000","","510852","NewSegment","30"<endrec>
"5000","1001","1001","2018-08-16 08:35:42.000000","","510952","First Name","30"<endrec>
"5000","1003","1001","2018-08-16 08:36:41.000000","","510962","Last Name","30"<endrec>
"1000","1011","1003","2018-10-12 09:43:13.000000","","511052","postal cosde","30"<endrec>
"1000","111286","1010","2018-10-02 07:37:01.000000","","511062","cns","30"<endrec>
"1000","1004","1001","2019-10-09 11:49:26.000000","","511152","Age","30"<endrec>
"7000","111276","1010","2019-01-23 06:14:15.000000","","511252","test-madhushika","30"<endrec>
"7000","111246","1010","2019-01-23 09:20:03.000000","","511352","test_roshan","30"<endrec>
