ENABLE,IDENTITY_TYPE,ITEM_NAME,ITEM_VALUE,MANDATORY,SCORE,SUB_TYPE,VERIFICATION_METHOD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"1","1000","kyc.100.103","","0","10","1002","1"<endrec>
"1","1000","kyc.1001.1001","","0","10","1002","1"<endrec>
"1","1000","kyc.1001.1003","","0","10","1002","1"<endrec>
"1","1000","kyc.1001.1004","","0","10","1002","1"<endrec>
"1","1000","verify.accountBalance","","1","30","1000","0"<endrec>
"1","1000","verify.accountBalance","","1","30","1001","0"<endrec>
"1","1000","verify.accountBalance","","0","10","1002","1"<endrec>
"1","1000","verify.regDate","","1","30","1000","0"<endrec>
"1","1000","verify.regDate","","1","30","1001","0"<endrec>
"1","1000","verify.regDate","","0","30","1002","0"<endrec>
"0","1000","verify.secretWord","","0","30","1000","0"<endrec>
"1","1000","verify.secretWord","","1","30","1001","0"<endrec>
"0","1000","verify.secretWord","","0","30","1002","0"<endrec>
"1","1000","verify.transAmount","","1","30","1000","0"<endrec>
"1","1000","verify.transAmount","","1","30","1001","0"<endrec>
"1","1000","verify.transAmount","","0","10","1002","1"<endrec>
"1","1000","verify.transCreditParty","","1","30","1000","0"<endrec>
"1","1000","verify.transCreditParty","","1","30","1001","0"<endrec>
"1","1000","verify.transCreditParty","","0","10","1002","1"<endrec>
"1","1000","verify.transDetail","","1","30","1000","1"<endrec>
"1","1000","verify.transDetail","","1","30","1001","1"<endrec>
"1","1000","verify.transDetail","","0","30","1002","1"<endrec>
"1","3000","kyc.100.103","","1","10","0","1"<endrec>
"1","3000","kyc.1001.1001","","1","10","0","1"<endrec>
"1","3000","kyc.1001.1003","","1","10","0","1"<endrec>
"1","3000","kyc.1001.1004","","0","10","0","1"<endrec>
"1","3000","verify.accountBalance","10011","0","10","0","1"<endrec>
"1","3000","verify.regDate","","0","30","0","1"<endrec>
"0","3000","verify.secretWord","","0","30","0","0"<endrec>
"1","3000","verify.transAmount","","0","10","0","1"<endrec>
"1","3000","verify.transCreditParty","","0","10","0","1"<endrec>
